É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/06/09 11:35:40

,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ,â´ìÍ
2024/7/1 7:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0.40,8,1,,0,1,6.3,8,ìÏ,8,1,2,8,1,85,8,1
2024/7/1 8:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0.88,8,1,,0,1,7.4,8,ìÏ,8,1,2,8,1,82,8,1
2024/7/1 9:00:00,30.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.72,8,1,,0,1,8.0,8,ìÏ,8,1,2,8,1,77,8,1
2024/7/1 10:00:00,31.2,8,1,0,1,8,1,,,0,1,,,0,1,2.54,8,1,,0,1,8.0,8,ìÏ,8,1,2,8,1,75,8,1
2024/7/1 11:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,3.12,8,1,,0,1,9.8,8,ìÏ,8,1,2,8,1,74,8,1
2024/7/1 12:00:00,32.3,8,1,0,1,8,1,,,0,1,,,0,1,3.45,8,1,,0,1,7.1,8,ìÏ,8,1,2,8,1,70,8,1
2024/7/1 13:00:00,32.2,8,1,0,1,8,1,,,0,1,,,0,1,3.69,8,1,,0,1,8.2,8,ìÏìÏêº,8,1,2,8,1,66,8,1
2024/7/1 14:00:00,32.2,8,1,0,1,8,1,,,0,1,,,0,1,3.39,8,1,,0,1,6.2,8,ìÏìÏêº,8,1,2,8,1,70,8,1
2024/7/1 15:00:00,32.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.18,8,1,,0,1,5.8,8,ìÏ,8,1,4,8,1,68,8,1
2024/7/1 16:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.97,8,1,,0,1,5.4,8,ìÏ,8,1,4,8,1,71,8,1
2024/7/1 17:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.51,8,1,,0,1,6.1,8,ìÏ,8,1,4,8,1,70,8,1
2024/7/1 18:00:00,30.8,8,1,0,1,8,1,,,0,1,,,0,1,1.05,8,1,,0,1,6.2,8,ìÏ,8,1,2,8,1,73,8,1
2024/7/1 19:00:00,30.5,8,1,0,1,8,1,,,0,1,,,0,1,0.46,8,1,,0,1,4.8,8,ìÏ,8,1,4,8,1,77,8,1
2024/7/1 20:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0.05,8,1,,0,1,4.5,8,ìÏ,8,1,4,8,1,81,8,1
2024/7/1 21:00:00,29.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,3.8,8,ìÏ,8,1,4,8,1,84,8,1
2024/7/1 22:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.9,8,ìÏìÏìå,8,1,4,8,1,85,8,1
2024/7/1 23:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.8,8,ìÏìÏìå,8,1,4,8,1,87,8,1
2024/7/2 00:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,5.0,8,ìÏìÏìå,8,1,4,8,1,86,8,1
2024/7/2 1:00:00,29.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.4,8,ìÏ,8,1,2,8,1,86,8,1
2024/7/2 2:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.4,8,ìÏ,8,1,2,8,1,88,8,1
2024/7/2 3:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.8,8,ìÏ,8,1,4,8,1,88,8,1
2024/7/2 4:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.3,8,ìÏìÏìå,8,1,4,8,1,89,8,1
2024/7/2 5:00:00,28.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.1,8,ìÏ,8,1,2,8,1,88,8,1
2024/7/2 6:00:00,28.4,8,1,0,1,8,1,,,0,1,,,0,1,0.01,8,1,,0,1,3.4,8,ìÏìÏìå,8,1,2,8,1,87,8,1
2024/7/2 7:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0.38,8,1,,0,1,4.7,8,ìÏìÏìå,8,1,2,8,1,83,8,1
2024/7/2 8:00:00,30.0,8,1,0,1,8,1,,,0,1,,,0,1,0.93,8,1,,0,1,6.6,8,ìÏ,8,1,2,8,1,80,8,1
2024/7/2 9:00:00,31.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.38,8,1,,0,1,6.7,8,ìÏ,8,1,2,8,1,73,8,1
2024/7/2 10:00:00,31.9,8,1,0,1,8,1,,,0,1,,,0,1,1.96,8,1,,0,1,5.0,8,ìÏìÏìå,8,1,2,8,1,73,8,1
2024/7/2 11:00:00,32.3,8,1,0,1,8,1,,,0,1,,,0,1,2.53,8,1,,0,1,7.3,8,ìÏ,8,1,2,8,1,68,8,1
2024/7/2 12:00:00,33.3,8,1,0,1,8,1,,,0,1,,,0,1,2.84,8,1,,0,1,7.0,8,ìÏ,8,1,2,8,1,64,8,1
2024/7/2 13:00:00,32.5,8,1,0,1,8,1,,,0,1,,,0,1,2.67,8,1,,0,1,7.3,8,ìÏ,8,1,4,8,1,68,8,1
2024/7/2 14:00:00,32.6,8,1,0,1,8,1,,,0,1,,,0,1,2.78,8,1,,0,1,8.1,8,ìÏìÏêº,8,1,4,8,1,65,8,1
2024/7/2 15:00:00,32.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,3.26,8,1,,0,1,6.0,8,ìÏìÏêº,8,1,2,8,1,67,8,1
2024/7/2 16:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,1.13,8,1,,0,1,6.7,8,ìÏ,8,1,4,8,1,67,8,1
2024/7/2 17:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.11,8,1,,0,1,6.3,8,ìÏìÏìå,8,1,2,8,1,69,8,1
2024/7/2 18:00:00,31.1,8,1,0,1,8,1,,,0,1,,,0,1,0.74,8,1,,0,1,6.1,8,ìÏìÏìå,8,1,2,8,1,73,8,1
2024/7/2 19:00:00,30.6,8,1,0,1,8,1,,,0,1,,,0,1,0.44,8,1,,0,1,5.8,8,ìÏìÏìå,8,1,2,8,1,75,8,1
2024/7/2 20:00:00,30.0,8,1,0,1,8,1,,,0,1,,,0,1,0.03,8,1,,0,1,4.8,8,ìÏìÏìå,8,1,2,8,1,80,8,1
2024/7/2 21:00:00,29.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,5.7,8,ìÏìÏìå,8,1,2,8,1,82,8,1
2024/7/2 22:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,5.3,8,ìÏìÏìå,8,1,2,8,1,84,8,1
2024/7/2 23:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.9,8,ìÏìÏìå,8,1,2,8,1,84,8,1
2024/7/3 00:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.2,8,ìÏìÏìå,8,1,2,8,1,86,8,1
2024/7/3 1:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.1,8,ìÏìÏìå,8,1,2,8,1,87,8,1
2024/7/3 2:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.1,8,ìÏ,8,1,2,8,1,87,8,1
2024/7/3 3:00:00,29.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.5,8,ìÏ,8,1,2,8,1,88,8,1
2024/7/3 4:00:00,28.9,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.7,8,ìÏìÏìå,8,1,2,8,1,88,8,1
2024/7/3 5:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.5,8,ìÏìå,8,1,2,8,1,88,8,1
2024/7/3 6:00:00,28.8,8,1,0,1,8,1,,,0,1,,,0,1,0.01,8,1,,0,1,2.7,8,ìÏìå,8,1,2,8,1,89,8,1
2024/7/3 7:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0.35,8,1,,0,1,3.5,8,ìÏìÏìå,8,1,2,8,1,84,8,1
2024/7/3 8:00:00,30.4,8,1,0,1,8,1,,,0,1,,,0,1,0.96,8,1,,0,1,4.1,8,ìÏìÏìå,8,1,2,8,1,76,8,1
2024/7/3 9:00:00,31.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.63,8,1,,0,1,3.6,8,ìÏ,8,1,2,8,1,71,8,1
2024/7/3 10:00:00,31.7,8,1,0.0,0,8,1,,,0,1,,,0,1,1.91,8,1,,0,1,5.6,8,ìÏìÏêº,8,1,10,8,1,70,8,1
2024/7/3 11:00:00,32.0,8,1,0.0,0,8,1,,,0,1,,,0,1,1.85,8,1,,0,1,3.5,8,ìÏ,8,1,4,8,1,68,8,1
2024/7/3 12:00:00,32.7,8,1,0.0,0,8,1,,,0,1,,,0,1,2.33,8,1,,0,1,5.2,8,ìÏìÏêº,8,1,2,8,1,65,8,1
2024/7/3 13:00:00,32.7,8,1,0,1,8,1,,,0,1,,,0,1,3.31,8,1,,0,1,4.7,8,ìÏ,8,1,2,8,1,65,8,1
2024/7/3 14:00:00,33.6,8,1,0,1,8,1,,,0,1,,,0,1,3.54,8,1,,0,1,5.3,8,ìÏêº,8,1,2,8,1,62,8,1
2024/7/3 15:00:00,33.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.72,8,1,,0,1,4.0,8,ìÏìÏìå,8,1,2,8,1,62,8,1
2024/7/3 16:00:00,33.3,8,1,0,1,8,1,,,0,1,,,0,1,2.22,8,1,,0,1,3.1,8,ìÏìÏìå,8,1,2,8,1,62,8,1
2024/7/3 17:00:00,32.1,8,1,0,1,8,1,,,0,1,,,0,1,1.25,8,1,,0,1,3.9,8,ìÏìå,8,1,2,8,1,66,8,1
2024/7/3 18:00:00,31.4,8,1,0,1,8,1,,,0,1,,,0,1,0.85,8,1,,0,1,4.3,8,ìÏìÏìå,8,1,2,8,1,70,8,1
2024/7/3 19:00:00,30.6,8,1,0,1,8,1,,,0,1,,,0,1,0.40,8,1,,0,1,4.1,8,ìÏìÏìå,8,1,2,8,1,75,8,1
2024/7/3 20:00:00,30.1,8,1,0,1,8,1,,,0,1,,,0,1,0.03,8,1,,0,1,3.4,8,ìÏìÏìå,8,1,2,8,1,77,8,1
2024/7/3 21:00:00,30.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,3.4,8,ìÏìÏìå,8,1,2,8,1,79,8,1
2024/7/3 22:00:00,30.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.9,8,ìÏìÏìå,8,1,2,8,1,79,8,1
2024/7/3 23:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.8,8,ìÏìå,8,1,2,8,1,80,8,1
2024/7/4 00:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.5,8,ìÏìå,8,1,2,8,1,81,8,1
2024/7/4 1:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.3,8,ìÏìå,8,1,2,8,1,83,8,1
2024/7/4 2:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.4,8,ìåìÏìå,8,1,2,8,1,85,8,1
2024/7/4 3:00:00,28.9,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.8,8,ìåìÏìå,8,1,2,8,1,83,8,1
2024/7/4 4:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.3,8,ìåìÏìå,8,1,2,8,1,89,8,1
2024/7/4 5:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.6,8,ìåìÏìå,8,1,2,8,1,85,8,1
2024/7/4 6:00:00,28.4,8,1,0.0,0,8,1,,,0,1,,,0,1,0.01,8,1,,0,1,1.8,8,ìåìÏìå,8,1,2,8,1,86,8,1
2024/7/4 7:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0.36,8,1,,0,1,2.1,8,ìÏìå,8,1,2,8,1,83,8,1
2024/7/4 8:00:00,30.3,8,1,0,1,8,1,,,0,1,,,0,1,1.10,8,1,,0,1,2.1,8,ìÏìå,8,1,2,8,1,78,8,1
2024/7/4 9:00:00,32.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.03,8,1,,0,1,2.4,8,ìÏìå,8,1,2,8,1,69,8,1
2024/7/4 10:00:00,32.0,8,1,0,1,8,1,,,0,1,,,0,1,2.61,8,1,,0,1,3.6,8,ìÏìÏìå,8,1,2,8,1,65,8,1
2024/7/4 11:00:00,33.3,8,1,0,1,8,1,,,0,1,,,0,1,2.71,8,1,,0,1,2.2,8,ìÏ,8,1,2,8,1,61,8,1
2024/7/4 12:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,2.24,8,1,,0,1,2.5,8,ìÏ,8,1,2,8,1,67,8,1
2024/7/4 13:00:00,31.9,8,1,0,1,8,1,,,0,1,,,0,1,0.85,8,1,,0,1,2.8,8,ìåñkìå,8,1,4,8,1,66,8,1
2024/7/4 14:00:00,31.7,8,1,0,1,8,1,,,0,1,,,0,1,0.94,8,1,,0,1,3.9,8,ìÏìå,8,1,4,8,1,69,8,1
2024/7/4 15:00:00,32.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.13,8,1,,0,1,2.6,8,ìÏìå,8,1,2,8,1,66,8,1
2024/7/4 16:00:00,33.6,8,1,0,1,8,1,,,0,1,,,0,1,1.54,8,1,,0,1,3.2,8,ìÏìå,8,1,2,8,1,60,8,1
2024/7/4 17:00:00,32.6,8,1,0,1,8,1,,,0,1,,,0,1,1.72,8,1,,0,1,3.2,8,ìÏìÏìå,8,1,2,8,1,59,8,1
2024/7/4 18:00:00,31.5,8,1,0,1,8,1,,,0,1,,,0,1,1.21,8,1,,0,1,3.2,8,ìÏìÏìå,8,1,2,8,1,62,8,1
2024/7/4 19:00:00,30.7,8,1,0,1,8,1,,,0,1,,,0,1,0.47,8,1,,0,1,3.3,8,ìÏìÏìå,8,1,2,8,1,68,8,1
2024/7/4 20:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0.04,8,1,,0,1,2.9,8,ìÏìÏìå,8,1,2,8,1,72,8,1
2024/7/4 21:00:00,29.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,2.9,8,ìÏìå,8,1,2,8,1,75,8,1
2024/7/4 22:00:00,29.3,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.2,8,ìÏìå,8,1,2,8,1,77,8,1
2024/7/4 23:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.1,8,ìÏìå,8,1,2,8,1,80,8,1
2024/7/5 00:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.4,8,ìÏìå,8,1,2,8,1,83,8,1
2024/7/5 1:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.4,8,ìÏìå,8,1,2,8,1,84,8,1
2024/7/5 2:00:00,28.8,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.8,8,ìÏìå,8,1,4,8,1,85,8,1
2024/7/5 3:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.9,8,ìÏìå,8,1,2,8,1,85,8,1
2024/7/5 4:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.1,8,ìÏìå,8,1,2,8,1,84,8,1
2024/7/5 5:00:00,28.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,1.8,8,ìÏìå,8,1,2,8,1,86,8,1
2024/7/5 6:00:00,28.5,8,1,0,1,8,1,,,0,1,,,0,1,0.02,8,1,,0,1,2.0,8,ìÏìå,8,1,2,8,1,86,8,1
2024/7/5 7:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0.39,8,1,,0,1,3.1,8,ìÏìå,8,1,2,8,1,80,8,1
2024/7/5 8:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0.73,8,1,,0,1,3.7,8,ìÏìå,8,1,2,8,1,81,8,1
2024/7/5 9:00:00,31.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.59,8,1,,0,1,3.1,8,ìÏ,8,1,2,8,1,70,8,1
2024/7/5 10:00:00,32.9,8,1,0,1,8,1,,,0,1,,,0,1,2.60,8,1,,0,1,3.3,8,ìÏìÏìå,8,1,2,8,1,63,8,1
2024/7/5 11:00:00,33.4,8,1,0,1,8,1,,,0,1,,,0,1,3.31,8,1,,0,1,3.7,8,ìÏìå,8,1,2,8,1,62,8,1
2024/7/5 12:00:00,32.8,8,1,0,1,8,1,,,0,1,,,0,1,2.73,8,1,,0,1,3.7,8,ìÏìå,8,1,2,8,1,64,8,1
2024/7/5 13:00:00,33.4,8,1,0,1,8,1,,,0,1,,,0,1,3.38,8,1,,0,1,3.7,8,ìÏìÏìå,8,1,2,8,1,61,8,1
2024/7/5 14:00:00,33.9,8,1,0,1,8,1,,,0,1,,,0,1,3.65,8,1,,0,1,4.8,8,ìÏìå,8,1,2,8,1,57,8,1
2024/7/5 15:00:00,33.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.85,8,1,,0,1,3.8,8,ìÏìå,8,1,2,8,1,64,8,1
2024/7/5 16:00:00,33.2,8,1,0,1,8,1,,,0,1,,,0,1,2.13,8,1,,0,1,4.1,8,ìÏìÏìå,8,1,2,8,1,62,8,1
2024/7/5 17:00:00,32.5,8,1,0,1,8,1,,,0,1,,,0,1,1.29,8,1,,0,1,3.9,8,ìÏìå,8,1,2,8,1,68,8,1
2024/7/5 18:00:00,31.2,8,1,0,1,8,1,,,0,1,,,0,1,0.68,8,1,,0,1,4.6,8,ìÏìå,8,1,2,8,1,71,8,1
2024/7/5 19:00:00,30.8,8,1,0,1,8,1,,,0,1,,,0,1,0.45,8,1,,0,1,4.3,8,ìÏìÏìå,8,1,2,8,1,74,8,1
2024/7/5 20:00:00,30.3,8,1,0,1,8,1,,,0,1,,,0,1,0.03,8,1,,0,1,4.3,8,ìÏìÏìå,8,1,2,8,1,77,8,1
2024/7/5 21:00:00,29.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,3.5,8,ìÏìÏìå,8,1,2,8,1,80,8,1
2024/7/5 22:00:00,29.9,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.2,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/7/5 23:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.0,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/7/6 00:00:00,29.5,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.6,8,ìÏìÏìå,8,1,2,8,1,83,8,1
2024/7/6 1:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,4.4,8,ìÏìÏìå,8,1,2,8,1,83,8,1
2024/7/6 2:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.5,8,ìÏìÏìå,8,1,2,8,1,82,8,1
2024/7/6 3:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.4,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/7/6 4:00:00,29.1,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.3,8,ìÏìÏìå,8,1,2,8,1,81,8,1
2024/7/6 5:00:00,29.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.6,8,ìÏìå,8,1,2,8,1,83,8,1
2024/7/6 6:00:00,28.2,8,1,0.0,0,8,1,,,0,1,,,0,1,0.01,8,1,,0,1,0.7,8,ìÏìå,8,1,10,8,1,88,8,1
2024/7/6 7:00:00,29.0,8,1,0.0,0,8,1,,,0,1,,,0,1,0.29,8,1,,0,1,2.5,8,ìÏìå,8,1,2,8,1,85,8,1
2024/7/6 8:00:00,30.5,8,1,0,1,8,1,,,0,1,,,0,1,1.17,8,1,,0,1,2.4,8,ìÏìå,8,1,2,8,1,80,8,1
2024/7/6 9:00:00,30.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,1.22,8,1,,0,1,3.7,8,ìÏìÏìå,8,1,2,8,1,77,8,1
2024/7/6 10:00:00,31.7,8,1,0.0,0,8,1,,,0,1,,,0,1,2.02,8,1,,0,1,4.7,8,ìÏìÏìå,8,1,2,8,1,70,8,1
2024/7/6 11:00:00,32.2,8,1,0,1,8,1,,,0,1,,,0,1,2.70,8,1,,0,1,4.0,8,ìÏìÏìå,8,1,2,8,1,68,8,1
2024/7/6 12:00:00,33.0,8,1,0,1,8,1,,,0,1,,,0,1,3.21,8,1,,0,1,5.9,8,ìÏìÏìå,8,1,2,8,1,63,8,1
2024/7/6 13:00:00,33.8,8,1,0,1,8,1,,,0,1,,,0,1,3.07,8,1,,0,1,5.3,8,ìÏìÏìå,8,1,2,8,1,55,8,1
2024/7/6 14:00:00,34.4,8,1,0,1,8,1,,,0,1,,,0,1,3.51,8,1,,0,1,5.9,8,ìÏ,8,1,2,8,1,53,8,1
2024/7/6 15:00:00,33.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,2.83,8,1,,0,1,6.2,8,ìÏìÏìå,8,1,2,8,1,65,8,1
2024/7/6 16:00:00,32.6,8,1,0,1,8,1,,,0,1,,,0,1,1.74,8,1,,0,1,5.9,8,ìÏ,8,1,2,8,1,66,8,1
2024/7/6 17:00:00,32.9,8,1,0,1,8,1,,,0,1,,,0,1,2.03,8,1,,0,1,4.2,8,ìÏìÏêº,8,1,2,8,1,63,8,1
2024/7/6 18:00:00,31.7,8,1,0,1,8,1,,,0,1,,,0,1,1.27,8,1,,0,1,4.1,8,ìÏêº,8,1,2,8,1,67,8,1
2024/7/6 19:00:00,30.7,8,1,0,1,8,1,,,0,1,,,0,1,0.48,8,1,,0,1,3.3,8,ìÏêº,8,1,2,8,1,72,8,1
2024/7/6 20:00:00,30.3,8,1,0,1,8,1,,,0,1,,,0,1,0.03,8,1,,0,1,3.3,8,ìÏ,8,1,2,8,1,76,8,1
2024/7/6 21:00:00,30.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,8,1,,0,1,3.0,8,ìÏìÏìå,8,1,2,8,1,78,8,1
2024/7/6 22:00:00,30.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.0,8,ìÏìÏìå,8,1,2,8,1,79,8,1
2024/7/6 23:00:00,29.7,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.3,8,ìÏìå,8,1,2,8,1,80,8,1
2024/7/7 00:00:00,29.6,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.2,8,ìÏìÏìå,8,1,2,8,1,82,8,1
2024/7/7 1:00:00,29.4,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.4,8,ìÏìÏìå,8,1,2,8,1,83,8,1
2024/7/7 2:00:00,29.2,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,3.8,8,ìÏìÏìå,8,1,2,8,1,83,8,1
2024/7/7 3:00:00,29.0,8,1,0,1,8,1,,,0,1,,,0,1,0,8,1,,0,1,2.4,8,ìÏìÏìå,8,1,2,8,1,86,8,1
